2025-04-29 04:18:47.759 | INFO     | swe_log:log_and_print:77 - ['test_latex_basic']
2025-04-29 04:18:47.759 | INFO     | swe_log:log_and_print:77 - python -m pip install -e .
2025-04-29 04:18:47.759 | INFO     | swe_log:log_and_print:77 - PYTHONWARNINGS='ignore::UserWarning,ignore::SyntaxWarning' bin/test -C --verbose sympy/printing/tests/test_latex.py
2025-04-29 04:18:47.759 | INFO     | swe_log:log_and_print:77 - /data/swe-fl/TMP/testbed/sympy__sympy-13798
2025-04-29 04:18:48.092 | INFO     | swe_log:log_msg:72 - Remove exist testbed_path: /data/swe-fl/TMP/testbed/sympy__sympy-13798
2025-04-29 04:18:50.819 | INFO     | swe_log:log_and_print:77 - Setup testbed environment: sympy__sympy-13798
2025-04-29 04:18:50.820 | INFO     | swe_log:log_and_print:77 - cd /data/swe-fl/TMP/testbed/sympy__sympy-13798 && source /root/miniforge3/bin/activate sympy__sympy__1.1            && cd /data/swe-fl/SRC/pysnooper_axel/dbgsnooper && python -m pip install -e . && cd /data/swe-fl/TMP/testbed/sympy__sympy-13798           && python -m pip install -e . && echo SUCCESS
2025-04-29 04:18:52.974 | INFO     | swe_log:log_msg:72 - Setup testbed: Done
2025-04-29 04:19:00.549 | INFO     | swe_log:log_and_print:77 - Query time: 2.86 seconds
2025-04-29 04:19:15.257 | INFO     | swe_log:log_and_print:77 - API call 1/4
2025-04-29 04:19:16.489 | INFO     | swe_log:log_and_print:77 - Query time: 1.23 seconds
2025-04-29 04:19:16.499 | INFO     | swe_log:log_and_print:77 - API call 2/4
2025-04-29 04:19:36.338 | INFO     | swe_log:log_and_print:77 - Query time: 19.84 seconds
2025-04-29 04:19:36.342 | INFO     | swe_log:log_and_print:77 - API call 3/4
2025-04-29 04:19:38.346 | INFO     | swe_log:log_and_print:77 - Query time: 2.00 seconds
2025-04-29 04:19:38.349 | INFO     | swe_log:log_and_print:77 - Ready to generate
2025-04-29 04:19:45.628 | INFO     | swe_log:log_and_print:77 - Query time: 7.26 seconds
2025-04-29 04:19:45.637 | INFO     | swe_log:log_and_print:77 - fuzzy search matched and replaced
2025-04-29 04:19:45.639 | INFO     | swe_log:log_and_print:77 - fuzzy search matched and replaced
2025-04-29 04:19:45.641 | INFO     | swe_log:log_and_print:77 - fuzzy search matched and replaced
2025-04-29 04:19:45.642 | INFO     | swe_log:log_msg:72 - Created backup at /data/swe-fl/TMP/testbed/sympy__sympy-13798/sympy/printing/latex.py.bak
2025-04-29 04:19:45.642 | INFO     | swe_log:log_msg:72 - Applied 3 edits to sympy/printing/latex.py
2025-04-29 04:19:45.643 | INFO     | swe_log:log_and_print:77 - Debugging process completed. Start evaluation
2025-04-29 04:19:46.035 | INFO     | swe_log:log_and_print:77 - fuzzy search matched and replaced
2025-04-29 04:19:46.037 | INFO     | swe_log:log_and_print:77 - fuzzy search matched and replaced
2025-04-29 04:19:46.039 | INFO     | swe_log:log_and_print:77 - fuzzy search matched and replaced
2025-04-29 04:19:46.040 | INFO     | swe_log:log_msg:72 - Created backup at /data/swe-fl/TMP/testbed/sympy__sympy-13798/sympy/printing/latex.py.bak
2025-04-29 04:19:46.040 | INFO     | swe_log:log_msg:72 - Applied 3 edits to sympy/printing/latex.py
2025-04-29 04:19:48.620 | INFO     | swe_log:log_msg:72 - CMD exec failed:
2025-04-29 04:19:48.620 | INFO     | swe_log:log_msg:72 - ============================= test process starts ==============================
executable:         /root/miniforge3/envs/sympy__sympy__1.1/bin/python  (3.9.21-final-0) [CPython]
architecture:       64-bit
cache:              no
ground types:       python 
numpy:              None
random seed:        89745520
hash randomization: on (PYTHONHASHSEED=6225188)

sympy/printing/tests/test_latex.py[116] 
test_printmethod E
test_latex_basic E
test_latex_builtins E
test_latex_SingularityFunction E
test_latex_cycle E
test_latex_permutation E
test_latex_Float E
test_latex_vector_expressions E
test_latex_symbols E
test_latex_symbols_failing f
test_latex_functions E
test_hyper_printing E
test_latex_bessel E
test_latex_fresnel E
test_latex_brackets E
test_latex_indexed E
test_latex_derivatives E
test_latex_subs E
test_latex_integrals E
test_latex_sets E
test_latex_Range E
test_latex_sequences E
test_latex_FourierSeries E
test_latex_FormalPowerSeries E
test_latex_intervals E
test_latex_AccumuBounds E
test_latex_emptyset E
test_latex_commutator E
test_latex_union E
test_latex_symmetric_difference E
test_latex_Complement E
test_latex_Complexes E
test_latex_productset E
test_latex_Naturals E
test_latex_Naturals0 E
test_latex_Integers E
test_latex_ImageSet E
test_latex_ConditionSet E
test_latex_ComplexRegion E
test_latex_Contains E
test_latex_sum E
test_latex_product E
test_latex_limits E
test_issue_3568 E
test_latex E
test_latex_dict E
test_latex_list E
test_latex_rational E
test_latex_inverse E
test_latex_DiracDelta E
test_latex_Heaviside E
test_latex_KroneckerDelta E
test_latex_LeviCivita E
test_mode E
test_latex_Piecewise E
test_latex_Matrix E
test_latex_matrix_with_functions E
test_latex_NDimArray E
test_latex_mul_symbol F
test_latex_issue_4381 E
test_latex_issue_4576 E
test_latex_pow_fraction E
test_noncommutative E
test_latex_order E
test_latex_Lambda E
test_latex_PolyElement E
test_latex_FracElement E
test_latex_Poly E
test_latex_ComplexRootOf E
test_latex_RootSum E
test_settings ok
test_latex_numbers E
test_latex_euler E
test_lamda E
test_custom_symbol_names E
test_matAdd E
test_matMul E
test_latex_MatrixSlice E
test_latex_RandomDomain E
test_PrettyPoly E
test_integral_transforms E
test_PolynomialRingBase E
test_categories E
test_Modules E
test_QuotientRing E
test_Tr E
test_Adjoint E
test_Hadamard E
test_ZeroMatrix E
test_boolean_args_order E
test_imaginary E
test_builtins_without_args E
test_latex_greek_functions E
test_translate ok
test_other_symbols E
test_modifiers E
test_greek_symbols E
test_builtin_without_args_mismatched_names f
test_builtin_no_args E
test_issue_6853 E
test_Mul E
test_Pow E
test_issue_7180 E
test_issue_8409 E
test_issue_8470 E
test_issue_7117 E
test_issue_2934 E
test_issue_10489 E
test_issue_12886 E
test_issue_13559 E
test_issue_13651 E
test_latex_UnevaluatedExpr E
test_MatrixElement_printing E
test_Quaternion_latex_printing E
test_TensorProduct_printing E
test_WedgeProduct_printing E                                              [FAIL]


________________________________________________________________________________
_____________ sympy/printing/tests/test_latex.py:test_printmethod ______________
  File "/data/swe-fl/TMP/testbed/sympy__sympy-13798/sympy/printing/tests/test_latex.py", line 50, in test_printmethod
    assert latex(R(x)) == "foo(x)"
  File "/data/swe-fl/TMP/testbed/sympy__sympy-13798/sympy/printing/latex.py", line 2205, in latex
    return LatexPrinter(settings).doprint(expr)
  File "/data/swe-fl/TMP/testbed/sympy__sympy-13798/sympy/printing/latex.py", line 160, in __init__
    mul_symbol_table[self._settings['mul_symbol']]
KeyError: ' '
________________________________________________________________________________
_____________ sympy/printing/tests/test_latex.py:test_latex_basic ______________
  File "/data/swe-fl/TMP/testbed/sympy__sympy-13798/sympy/printing/tests/test_latex.py", line 59, in test_latex_basic
    assert latex(1 + x) == "x + 1"
  File "/data/swe-fl/TMP/testbed/sympy__sympy-13798/sympy/printing/latex.py", line 2205, in latex
